feature,fold_0,fold_1,fold_2,fold_3,fold_4,importance,std
LotArea,230,433,289,387,294,326.6,81.81870201854831
QualTotalSF,227,350,238,299,333,289.4,55.2295210915322
AreaPerRoom,118,306,167,274,215,216.0,76.59960835409017
TotalSF,170,253,203,207,163,199.2,35.82178108358098
GarageArea,154,237,178,198,225,198.4,33.85705244110893
1stFlrSF,124,262,140,235,218,195.8,60.58217559645741
OverallCond,181,210,183,183,193,190.0,12.12435565298214
Age,140,231,169,203,173,183.2,34.81666267751692
Neighborhood,146,227,152,194,156,175.0,34.62657938636157
TotalBsmtSF,124,267,107,194,177,173.8,63.33798228551333
GrLivArea,109,252,141,210,156,173.6,57.04647228356895
YearBuilt,142,243,167,169,146,173.4,40.74677901380672
TotalPorchSF,117,204,160,224,156,172.2,42.28711387645177
QualGrLivLog,146,229,157,140,147,163.8,36.95537849894112
YearRemodAdd,97,189,139,183,179,157.4,39.07428822128434
RemodAge,120,189,151,171,123,150.8,29.953296980466106
QualGrLiv,106,187,117,151,157,143.6,32.55456957172065
WoodDeckSF,102,183,121,119,159,136.8,33.184333653096004
TotalBath,127,144,134,122,126,130.6,8.648699324175862
GarageScore,75,130,81,130,127,108.6,28.04104135013534
OpenPorchSF,69,148,88,114,95,102.8,29.96164214458213
2ndFlrSF,39,88,67,58,62,62.8,17.626684316683047
Fireplaces,55,53,54,72,71,61.0,9.617692030835672
MSZoning,38,51,67,65,60,56.2,11.903780911962384
BsmtFullBath,49,48,57,68,44,53.2,9.5236547606473
HeatingQC,37,54,39,45,55,46.0,8.306623862918075
GarageType,41,69,41,33,37,44.2,14.25482374496437
GarageFinish,23,39,30,58,32,36.4,13.352902306240393
BsmtQual,29,44,24,46,36,35.8,9.444575162494075
BsmtScore,26,54,25,43,27,35.0,12.942179105544785
EnclosedPorch,27,63,11,40,34,35.0,19.03943276465977
FireplaceQu,25,44,33,38,31,34.2,7.19027120489902
HouseStyle,19,35,40,41,29,32.8,9.06642156531451
KitchenQual,26,39,27,31,41,32.8,6.870225614927067
TotRmsAbvGrd,19,39,29,42,31,32.0,9.055385138137417
Foundation,28,17,30,23,32,26.0,6.041522986797286
GarageCars,23,18,23,30,14,21.6,6.024948132556827
BldgType,25,18,20,24,18,21.0,3.3166247903554
BedroomAbvGr,9,25,21,18,17,18.0,5.916079783099616
OverallQual,12,17,14,9,13,13.0,2.9154759474226504
HalfBath,8,15,5,8,10,9.2,3.7013511046643495
ExterQual,4,12,11,6,10,8.6,3.4351128074635335
IsRemodeled,1,6,9,14,7,7.4,4.722287581247038
FullBath,3,8,1,1,11,4.8,4.494441010848846
IsNew,0,0,0,0,0,0.0,0.0
HasBsmt,0,0,0,0,0,0.0,0.0
